Age Group,Gender,Profession,City,Province,Country,Latitude,Longitude,Fact Reported,Converted Religious Message,Level of Intervention Needed
60+,Non-binary,Priest,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,4
60+,Non-binary,Priest,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,9
60+,Male,Priest,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.,4
60+,Non-binary,Doctor,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are safe and effective.,Protecting life is a divine duty.,1
46-55,Male,Teacher,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.,0
60+,Female,Priest,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,6
60+,Male,Priest,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are safe and effective.,Protecting life is a divine duty.,2
18-25,Female,Student,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.,0
18-25,Male,Community Leader,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,6
60+,Female,Priest,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.,8
18-25,Male,Teacher,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.,3
60+,Non-binary,Priest,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,2
60+,Non-binary,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,10
60+,Female,Priest,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,8
60+,Female,Priest,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.,7
60+,Non-binary,Priest,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,0
60+,Non-binary,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.,10
60+,Male,Priest,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,8
60+,Non-binary,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,4
60+,Non-binary,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are safe and effective.,Protecting life is a divine duty.,10
60+,Female,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are safe and effective.,Protecting life is a divine duty.,7
60+,Female,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,6
60+,Non-binary,Priest,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,0
60+,Male,Priest,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.,2
60+,Non-binary,Student,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,1
60+,Male,Doctor,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,3
46-55,Male,Teacher,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.,1
60+,Male,Priest,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.,6
60+,Female,Priest,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,9
60+,Male,Doctor,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.,3
60+,Non-binary,Priest,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.,10
60+,Female,Priest,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.,9
60+,Male,Priest,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,5
60+,Non-binary,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.,9
60+,Non-binary,Priest,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.,7
60+,Non-binary,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,3
60+,Non-binary,Student,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,5
18-25,Female,Student,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,1
60+,Non-binary,Teacher,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.,10
18-25,Female,Teacher,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.,3
60+,Female,Priest,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.,4
60+,Male,Priest,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.,8
60+,Male,Priest,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.,3
60+,Non-binary,Priest,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.,1
60+,Non-binary,Priest,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines are safe and effective.,Protecting life is a divine duty.,1
46-55,Non-binary,Student,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.,8
