User Age,City,Province,Country,Latitude,Longitude,Fact Reported,Converted Religious Message
50,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are safe and effective.,Protecting life is a divine duty.
54,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
61,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are safe and effective.,Protecting life is a divine duty.
39,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.
40,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
53,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
36,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
32,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are safe and effective.,Protecting life is a divine duty.
34,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
51,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
65,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
18,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
41,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
42,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
56,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.
51,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
26,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
48,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
22,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
21,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
37,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
44,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
